color,x,z
yellow,-0.3761832,0.267939
yellow,-0.19998,0.1420902
blue,0.20127899999999999,0.257874
blue,-0.628386,0.753792
yellow,-0.0705486,0.01532634
blue,-0.4544952,0.691404
blue,-0.2272014,0.5781731999999999
blue,-0.02463636,0.4520646
yellow,-0.5894237999999999,0.3560694
blue,-1.7988899999999999,-0.21038459999999998
yellow,-0.87204,-0.8615099999999999
blue,-0.878682,-1.3190520000000001
yellow,-0.5342502,-0.7247699999999999
yellow,-0.106308,-0.2665752
blue,-0.2615202,-1.1822759999999999
blue,-0.040222020000000004,-1.029228
blue,-0.5394162,-1.245894
yellow,-0.2939412,-0.5313840000000001
blue,0.3068382,-0.2843238
blue,0.1434048,-0.8183339999999999
blue,0.2511078,-0.5617512
yellow,-1.420254,-0.2181252
yellow,-1.34178,-0.40254059999999997
yellow,-1.0728360000000001,-0.705666
yellow,-1.211622,-0.5588502000000001
blue,-1.57278,-0.869004
blue,-1.182138,-1.252986
blue,-1.764276,-0.4868472
blue,-1.424016,-1.077228
blue,-1.68225,-0.714096
blue,0.2997012,0.01824858
blue,-0.8335079999999999,0.787626
yellow,-1.325052,-0.005517078
yellow,-1.1651939999999998,0.19085459999999999
yellow,-1.015266,0.3162762
blue,-1.093038,0.708738
blue,-1.2882719999999999,0.5570298
blue,-1.454826,0.36400259999999995
blue,-1.599564,0.18213959999999998
yellow,-0.8370299999999999,0.39090359999999996
blue,-1.699746,-0.00944376
